EventName,Division,StartDate,EndDate,Time,Venue,Address,City,State,Zip,Category,EventType,PrizeMoney,EntryFee,Runs,Description,Website,Phone,Email,SourceImage,DateExtracted,TeamRopingAI
Wayne Hamlin Memorial Roping,#7.5 Slide/#6.5/#4.5,05/23/2026,05/25/2026,10:00 AM,Shady Spot Arena,7303 E Massingale Rd,Benton City,WA,,Team Roping,Memorial,$60+,$40-$60,3 days,3-day memorial event. Sat: #7.5 Slide 4 for $60 Hdcp Up/Dn; #6.5 1 Over 40 3 for $40; #4.5 3 for $40. Sun: Century/Mix 4 for $50; #6.5 3 for $40; #5.5 3 for $40. Mon: #6.5 Slide 4 for $60; #6.5 Over 40 3 for $40. 2 Saddles awarded. Buckles to average winners. ACTRA. Kyle Hagins 509-947-2051.,,509-947-2051,,622935879_1416371400534774_2100473433641619686_n.jpg,03/08/2026,Yes
Butch Wise Memorial Roping,,05/30/2026,05/30/2026,10:00 AM,Shady Spot Arena,7303 E Massingale Rd,Benton City,WA,,Team Roping,Memorial,,,Special format,Special format. No breakaway. ACTRA. 1/3 cattle charge. $10 office fee. Kyle Hagins 509-947-2051.,,509-947-2051,,622935879_1416371400534774_2100473433641619686_n.jpg,03/08/2026,Yes
4th of July Weekend Roping,#7.5 Slide/#6.5/#4.5/Century Mix,07/04/2026,07/05/2026,10:00 AM,Shady Spot Arena,7303 E Massingale Rd,Benton City,WA,,Team Roping,Special Event,$40+,$40-$60,2 days,Jul 4: #7.5 Slide 4 for $60 P1D1 or Draw Hdcp Up/Dn; #6.5 1 Over 40 3 for $40; #4.5 3 for $40. Jul 5: Century/Mix Buckle Roping #7.5 4 for $50; #6.5 3 for $40; #5.5 3 for $40. Saddle to high $ winner & high $ woman. Buckles to Century/Mix average winners. ACTRA. Kyle Hagins 509-947-2051.,,509-947-2051,,622935879_1416371400534774_2100473433641619686_n.jpg,03/08/2026,Yes
PRDC Roping Jackpot,#6,05/23/2026,10/03/2026,12:00 PM,Petaluma Riding Club,1820 Skillman Lane,Petaluma,CA,94952,Team Roping,Jackpot,,$35,3 runs,"Dates: May 23, Jun 27, Jul 11, Aug 22, Sep 12, Oct 3. #6 Pick or Draw 3 for $35. Sign up 11am rope 12pm. Handicap 1 sec per 1/2 number. 3 pots depending on entries. 40% cattle charge. Cash only. Must be ACTRA member. Memberships available at sign up. Brandon Bacon (707)396-2229.",,707-396-2229,,636213864_1346549427515549_8721971264747557137_n.jpg,03/08/2026,Yes
2026 Carbon Classic - Open Breakaway,Open Breakaway,05/11/2026,05/11/2026,3:00 PM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Breakaway Roping,Special Event,$5000 added,$500/entry,Enter 2x limited 100 entries,Monday. Open Breakaway $5000 added. 3 head progressive plus short. $500/entry limited to 100 entries enter 2x. Cash only. Text to save spot. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,03/08/2026,Yes
2026 Carbon Classic - Friday Ropings,#16.5/#15.5/#14.5,05/15/2026,05/15/2026,10:00 AM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Team Roping,Special Event,$10000+ added,$400-$500/man,Enter 3x 60 team limit,Friday. Books close 9:30 rope 10. Regular barrier. #16.5 $5000 added $400/man enter 3x 60 team limit. #15.5 $5000 added $400/man enter 3x 60 team limit. #14.5 $10000 added $500/man 6 head enter 3x 60 team limit. Cash only. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,03/08/2026,Yes
2026 Carbon Classic - Saturday Ropings,#13.5/#12.5/#11.5,05/16/2026,05/16/2026,10:00 AM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Team Roping,Special Event,$10000+ added,$300-$500/man,Enter 3x 60 team limit,Saturday. Books close 9:30 rope 10. World Series barrier. #13.5 $300/man enter 3x 60 team limit. #12.5 $10000 added $500/man 6 head enter 3x 60 team limit one partner must be 21. #11.5 $10000 added $500/man 6 head enter 3x 60 team limit one partner must be 21. Cash only. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,03/08/2026,Yes
2026 Carbon Classic - Sunday Open,Open #1/Open #2,05/17/2026,05/17/2026,11:00 AM,Brown Ranch,217 Hwy 1027,Carbon,TX,76435,Team Roping,Special Event,$10000+ added,$500/man,Enter 1x each roping,Sunday. Church with Trey Johnson 10am. Books close 10:30 rope 11. Carbon Classic Open #1 $10000 added $500/man 6 head enter 1x. Carbon Classic Open #2 $10000 added $500/man 6 head enter 1x. $2000 to highest placing #17 team or under in each roping must catch all 6. Cash only. Billy Bob Brown 254-631-8474.,,254-631-8474,,646955627_26003122469357159_4395168201911641881_n.jpg,03/08/2026,Yes
Ridin' For Christ Breakaway Roping,Open 4D Breakaway,04/18/2026,04/18/2026,7:00 PM,Paris Rodeo Arena,550 Clement Rd,Paris,TX,,Breakaway Roping,Jackpot,,$40/entry,Rope once per entry 3x per horse,Open 4D Breakaway Roping. $40/entry. 1/2 second splits. 100% payback: 1D 40% 2D 30% 3D 20% 4D 10%. Books open 5pm close 6:30pm rope 7pm. Cash only. Electric barrier. Bell collar catch. Pre-entries text name/horse/# of entries to Brittany 915-525-2075.,,915-525-2075,,648154643_2868774983324917_4539212340395539793_n.jpg,03/08/2026,Yes
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,04/05/2026,04/06/2026,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano dates Apr 5-6. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,03/08/2026,Yes
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,05/25/2026,05/25/2026,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano date May 25. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,03/08/2026,Yes
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,06/20/2026,06/21/2026,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano dates Jun 20-21. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,03/08/2026,Yes
Tyler Magnus Team Roping - Llano,#6 Two Steer/#8 Hdcp/#10 Hdcp/#12 Slide,08/29/2026,08/30/2026,11:00 AM,JLK Arena,2200 W Ranch Rd 152,Llano,TX,,Team Roping,Special Event,$75+,$75-$180/roper,Enter 3x/side,Future Llano dates Aug 29-30. Same format: #6 Two Steer #8 Handicap w/#4 Cap #10 Handicap #12 Slide. Global numbers. No Elites. Negative Coggins. Cash or credit card. Tyler (512)940-4786.,,512-940-4786,,649126379_1484691186387708_1456881390502128402_n.jpg,03/08/2026,Yes
Poly Royal Rodeo Boosters Alumni Team Roping,#12 Slide HDCP,04/09/2026,04/09/2026,10:00 AM,Cotton Rosser Rodeo Complex - Cal Poly,,San Luis Obispo,CA,,Team Roping,Special Event,$100,$50/run,Enter 3x total of 6 runs,#12 Slide HDCP 3 for $100. Pick 1 Draw 1 $50/run enter 3x for total of 6 runs. Sign up 9am rope 10am. Cash only. Top 5 teams perform at Spanos Stadium Thursday night. Kickoff BBQ for Alumni & Boosters. World Series numbers. No membership required.,,,,649228200_18457727947102164_947460637351300923_n.jpg,03/08/2026,Yes
Cinch BRC Finale 2026,,4/10/26,4/12/26,8:00 AM each day,OKC OG&E Coliseum,301 Gordon Cooper Boulevard,Oklahoma City,OK,,Breakaway Roping,Finale,"$150,000 Added Cash & Prizes",,,"Cinch BRC Finale, no qualifications required. Fri: Total Feeds Open $750; #5 Cinch Slide $750. Sat: #5 Handicap $500; #3 Priefert HC $500. Sun: #2 Soft Calves $250; #1 Sled $100; Youth 12U & 16U $200. 60% payback. Pre-entries close April 1. Late fee $50.",cinchbreakaway.com,,,645426344_122179663814754117_2388299198848184301_n.jpg,3/2/26,NO
Cinch BRC Finale,,4/10/26,4/12/26,,Oklahoma City Venue,,Oklahoma City,OK,,Breakaway Roping,,,,,Cinch Breakaway Roping Championships Finale - the culminating event of the 2026 BRC season. Three-day championship event.,https://cinchbreakaway.com,,,Screenshot_2026-01-30_at_8_46_38_AM.png,,
Willow Wilson Breakaway Clinic,,4/11/26,4/11/26,9:00 AM,D & D Livestock and Boarding,132 Two Valley Rd,Riverton,WY,82501.0,Breakaway Roping,Clinic,,,,"Breakaway Clinic with Willow Wilson (2023 Mountain State Circuit Breakaway Roper Champion, 10x Wyoming Rodeo Association All-Around Champion, 8x Colorado Pro-Rodeo Association All-Around Champion, 2011 & 2025 Colorado Pro-Rodeo Breakaway Champion). One day clinic, 9am-4pm, $150 per person.",,719-209-5010,,619759012_25571828765772747_1063864215253697242_n.jpg,2/1/26,NO
4D Arena Saturday Breakaway,,Saturdays,,12:00 PM,4D Arena,23465 W Patton Rd,Wittmann,AZ,85361,Breakaway Roping,Weekly Series,Cash Prizes,,,"4D Arena Breakaway every Saturday! Books close at 10:30am, rope at 11:00am. Starts with the open. OPEN BREAKAWAY: $120 entry, Enter 4x max, 3 head progressive, bell collar catch only. NOVICE BREAKAWAY: $120 entry, Enter 4x max, straight 2 head average. Novice eligibility - must meet ONE: Woman over 50, kid under 12, or roper/horse with less than $1500 lifetime earnings. Cash only! All ropings are 2/3rd payback unless specified. Ropings are nominated for WCRA. Sponsored by Roping Finder and Akins Trailer Sales. Follow Hot Shot Equine and 4D Arena on Facebook for updates.",,(719) 539-5507,,620032530_918872384139771_7101876432825736538_n.jpg,1/27/26,YES
Show Me Rope For The Truck,,4/4/26,4/4/26,"Books open 8:30 AM, Rope 10:00 AM",Longhorn Arena,8802 Hwy M,Mount Vernon,MO,,Team Roping,Jackpot,2026 F350 4-Door Diesel Truck + 75% Payback,,,"#10.5 w/#9 handicap, capped at 6.5, 6-entry limit. Enter 1 draw 1 or draw 2 for $300. 4hd progressive on one. 75% payback including truck to high-point roper. Must have 200 entries (400 teams) to award truck. Global handicap classification required.",,417-225-0091 / 417-224-1153,,633793497_10231846515320988_23646160707703066_n.jpg,3/2/26,YES
40+ Team Roping Championships - Detroit Apr,,4/4/26,4/4/26,,,,Detroit,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Detroit, TX. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
SRC Sports Team Roping Series - April 4,,4/4/26,4/4/26,,Badiola Arena,,Homedale,ID,,Team Roping,,,,,"SRC Sports Team Roping Series. Classes: #6 HC (P1D1 or Draw, 4 for $70/run), #4.5 (P1D1 or Draw, 3 for $70/run), #3 (Pick or Draw, 3 for $50/run). Sign up 10-10:45am, Rope @ 11:00am. Enter 6x max, 1/3 cattle charge. Series prize money: 1st $1000, 2nd $750, 3rd $500, 4th $250 (must rope 4 of 6 days). ACTRA Qualifiers - must be 2026 ACTRA member. Cash or card only.",,,,618245025_1376574244274666_433041838272092243_n.jpg,,
40+ Team Roping - Detroit April,,4/4/26,4/4/26,,Detroit Arena,,Detroit,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
Easter Weekend Roping,,4/4/26,4/4/26,10:30 AM,JBCCC Arena (J Bar C Cowboy Church),230 E FM 813,Palmer,TX,,Team Roping,Jackpot,,,,"Easter Weekend Roping at J Bar C Cowboy Church Arena. Books open 9:00 AM, rope at 10:30 AM. Two divisions: #10.5 (Enter 1 Draw 1, 4HD/Progressive 1, 200 man, pick after 100/man) and #8.5 (Enter 1 Draw 1, 4HD/Progressive 1, 200 man, pick after 100/man, starts following #10.5). Cash only.",,972-567-1416,,624537830_25805583339052846_8602973886360403848_n.jpg,2/1/26,YES
ARHFA 2026 - Old West The Gamble at Guthrie,,4/8/26,4/12/26,,Lazy E Arena,,Guthrie,OK,,Team Roping,Futurity,,,,"American Rope Horse Futurity Association 2026 event. Old West – The Gamble at Guthrie, held at Lazy E Arena. All dates and locations subject to change.",,,,628068224_1279698137538651_2633477944028677194_n.jpg,3/2/26,YES
Travis Woodard Team Roping Clinic,,4/10/26,4/12/26,9:00 AM – 5:00 PM daily,Our Father's Way Arena,797 Davinci Dr.,Fort Blackmore,VA,,Team Roping,Clinic,,,,"3-day team roping clinic with NFR Qualifier & BFI Champion Travis Woodard. All skill levels welcome. 7 header & 7 heeler spots. $700/person, $350 deposit. Lunch provided. Stalls on site, generators welcome. Contact Ben Nelms to enter.",traviswoodardroping.com,423-721-4667,,641364289_25838536285767814_8385903536950387600_n.jpg,3/2/26,YES
Pacific Coast Shootouts – Rancher's Special,,4/11/26,4/11/26,"Sign up 9:00 AM, Rope 10:00 AM",S Bar J Arena,3301 N. Del Rey,Sanger,CA,,Team Roping,Jackpot,Honda 4-Wheeler + Trophy Saddle,,,"Pacific Coast Shootouts Rancher's Special. Honda 4-wheeler to high money roper; trophy saddle to high money over 50 or lady over 40. Classes: #9.5, #8.5, #7.5 ($50/3hd pick or draw). Must be member. Cash or credit only.",,559-352-8012,,644305458_122123949789110622_563415423757068686_n.jpg,3/2/26,YES
40+ Team Roping Championships - Weatherford Apr,,4/11/26,4/12/26,,,,Weatherford,TX,,Team Roping,Championship Series,,,,"40+ Team Roping Championships 2026 series event in Weatherford. Two-day event. This championship series is designed for senior ropers aged 40 and over, featuring competitive team roping across multiple Texas and Oklahoma venues from February through May.",,,,616366316_1284983746770766_270742541734740124_n.jpg,1/26/26,YES
40+ Team Roping - Weatherford April,,4/11/26,4/12/26,,Weatherford Arena,,Weatherford,TX,,Team Roping,,,,,40+ Team Roping Championships 2026. Team roping series for ropers 40 years and older.,,,,622378617_1295051789097295_6361724889094578613_n.jpg,,
Zia Roping Productions – 21 & Over Truck Roping,,4/11/26,4/12/26,,Rose Palace,"San Antonio, TX",San Antonio,TX,,Team Roping,Jackpot,,,,"21 & Over Truck Roping. 85% payout, big cash payout and prizes. 2026 RAM 3500 to high point roper.",,,,,,YES
